Population,Dam,Internode1,Internode2,Internode3,flowers.day,Pedunclelengthnodetoflower,Cor.Length,Cor.Width,Anthersbelow,Nectar_volume,Sugar_conc_average,Leafdissection
1,1,3,2,3,1,12.18333333,33.01666667,37.15333333,4.333333333,2.67125,409.7427993,0.5
1,1,3,2,4,2.333333333,10.85333333,35.65,34.62333333,4.666666667,1.307916667,400.5519705,0.25
1,2,3,3,16,2.333333333,36.78333333,33.97,32.87,5,4.052708333,402.1761339,0.25
1,2,5,4,12,1.333333333,41.81333333,35.56333333,42.17,5,3.54234375,420.6196181,0.416666667
1,3,11,7,27,3.5,43.7,34.4625,36.9475,4,4.922916667,392.4480426,0
1,3,9,8,27,2,49.68333333,34.42,36.04333333,3,3.921875,404.6415834,0.083333333
1,4,4,6,42,1.666666667,9.01,32.06333333,38.13666667,1,1.607708333,307.5838168,0.583333333
1,4,5,5,24,1,10.02,31.13333333,36.82,4,2.669375,323.4529705,0.333333333
1,5,4,4,7,1.75,14.5825,30.145,27.5375,0,3.794791667,348.5853289,0.375
1,5,5,5,6,1.5,10.8375,31.0725,30.6075,0,2.980208333,270.8773048,0.5
1,6,6,6,38,1.666666667,12.41666667,33.71666667,34.53666667,2.5,3.11765625,344.9107042,0.25
1,6,7,5,45,2,14.83666667,28.39,29.79,3.333333333,1.89453125,253.8875912,0.333333333
1,7,3,5,10,1.333333333,7.573333333,27.7,29.83333333,3,4.152916667,351.9222708,0.083333333
1,7,5,4,8,2,9.486666667,29.02,28.60333333,2,3.902916667,374.2857297,0
1,8,5,3,11,2.666666667,21.28,26.64,34.89333333,2,2.947916667,357.5437314,0
1,8,6,10,59,2.333333333,31.11333333,29.67333333,37.03333333,3,3.131875,347.3055841,0.166666667
1,9,6,9,44,2.666666667,38.90333333,26.61333333,38.96333333,4,2.001666667,291.5265581,0
1,9,4,15,59,3,21.53666667,28.13333333,36.62,5,2.507083333,344.7865997,0.416666667
1,10,13,7,44,1,43.30666667,45.89,49.79,3.666666667,5.227291667,389.7628619,0.916666667
1,10,6,5,35,1.25,25.8,40.9225,49.5825,3.75,5.932708333,424.1093332,0.916666667
1,11,NA,NA,NA,1,21.12,37.38,43.81,5,3.944166667,408.3566024,0
1,12,NA,NA,NA,1,45.65666667,39.73333333,42.89333333,4.333333333,3.604166667,420.8956532,0.583333333
1,13,9,10,21,1.666666667,12.80333333,31.91,36.11,5,2.59890625,353.628969,0
1,13,8,7,16,1,10.23666667,30.54666667,30.61,5,2.71125,353.8151964,0
1,13,6,6,11,2,11.60333333,31.31,31.87666667,5,2.83078125,331.1620184,0
1,13,6,6,10,1.333333333,12.37666667,31.75,28.59666667,4.333333333,2.26578125,318.0037765,0
1,14,8,10,34,1,18.27666667,28.28666667,31.47666667,4.666666667,1.6965,331.5882722,0
1,14,9,7,23,1.333333333,14.14666667,31.13333333,37.51,5,3.213333333,364.46387,0
1,14,6,9,24,1.333333333,42.16,26.84,33.85,4.666666667,3.64875,372.2357943,0
1,14,7,8,27,1.666666667,20.91666667,30.44666667,38.59666667,5,3.434375,366.7940575,0
1,15,4,5,6,7.25,14.35,33.435,32.51,5,3.550625,332.0934788,0.625
1,15,4,4,9,5,13.67333333,34.03666667,34.41,5,3.889375,405.7092333,0.583333333
1,16,6,7,23,1.333333333,13.14,32.76666667,34.98333333,1.5,NA,NA,0.416666667
1,16,10,7,43,1.333333333,7.446666667,29.63333333,31.24666667,NA,2.868125,359.1510726,0.25
1,17,3,4,11,1,15.16666667,31.16666667,33.54333333,2,NA,NA,0
1,17,5,4,8,1,21.64,27.79,38.66,3,NA,NA,0
1,18,4,5,24,1,17.45333333,32.71333333,33.79666667,2.333333333,3.619375,366.7114013,0
1,18,7,8,38,1,11.99666667,31.19333333,31.12333333,2.333333333,3.040875,346.9814095,0.166666667
1,19,4,5,15,1.333333333,14.87666667,33.69333333,30.01,2.5,2.63875,355.4055934,0.666666667
1,19,4,8,18,1,15.81,34.76,34.40333333,2,2.71875,328.3427158,0.416666667
1,20,6,4,10,2,17.985,27.96,28.0375,1,1.81625,284.0474134,0.375
1,20,7,8,15,1.333333333,12.62,27.17,21.49,1.5,1.7765,302.7334008,0.666666667
1,22,5,4,4,2,27.18333333,34.8,36.56666667,2,6.71296875,441.025142,0.666666667
1,22,3,3,3,1.333333333,35.21333333,41.06666667,45.70666667,5,5.3675,454.276921,1
1,23,4,4,6,1.333333333,17.83333333,36.76,36.87,5,5.2528125,420.4689634,0
1,23,5,16,30,1,20.58666667,38.62333333,37.85666667,5,6.047083333,461.0881097,0.75
1,24,2,4,7,5,7.3425,27.285,28.65,3,3.66125,339.8365254,0.3125
1,24,4,5,19,1,8.403333333,28.42,28.74666667,1.5,3.455,349.7544682,0.25
1,25,4,4,16,4,16.40666667,30.14333333,29.27666667,2,2.429583333,355.07609,0.333333333
1,25,NA,NA,NA,1,21.46,28.95666667,29.045,3,2.646875,369.278342,0.083333333
1,26,9,12,21,2.666666667,15.72333333,29.44666667,28.23666667,3,2.7,289.7394725,0.166666667
1,26,6,6,6,1.666666667,10.73333333,29.47333333,27.73666667,2,2.96140625,369.5472453,0.166666667
2,27,7,5,25,2.333333333,7.776666667,19.99666667,14.09666667,0,0.924583333,241.2969897,0
2,27,8,6,35,1.333333333,10.22333333,21.35666667,16.37333333,0,0.767291667,228.889593,0.083333333
2,28,10,12,64,4.25,12.72,20.47,14.99,0,0.575833333,192.3198426,0
2,28,10,10,52,3.333333333,9.526666667,18.90333333,13.08,0,0.6175,178.4973535,0
2,29,14,13,46,4.333333333,13.25333333,19.69666667,14.64666667,0,0.953333333,151.3816934,0
2,29,14,12,65,5,8.166666667,20.75666667,15.62666667,0,0.376666667,188.6212023,0
2,30,8,6,48,1.5,9.035,21.0925,14.22,0,1.807708333,212.9053579,0
2,30,9,8,61,3,7.023333333,19.39666667,12.98,0,0.564583333,198.2735054,0
2,31,16,21,78,4,13.38333333,20.53333333,14.86666667,0,1.182083333,219.2868763,0.083333333
2,31,18,24,69,2,11.97333333,20.90333333,16.74,0,1.086875,238.2046881,0.666666667
2,32,9,7,20,7.25,7.115,18.8025,14.7275,0,0.75828125,263.4917878,0.25
2,32,12,10,15,1.333333333,16.69666667,20.40666667,16.42333333,0,0.688125,276.6403839,0.25
2,33,16,15,50,6.75,15.335,21.97,14.89,0,0.34875,202.2374287,0.125
2,33,21,18,45,1.666666667,11.70333333,20.26,14.55333333,0,0.360833333,225.1137431,0.25
2,34,8,8,58,6,9.203333333,19.16,13.38333333,0,0.502083333,185.4054992,0
2,34,13,21,73,1.666666667,7.046666667,20.68,14.37333333,0,0.7975,211.7367445,0
2,35,13,7,25,2.333333333,9.023333333,22.41333333,17.04666667,0,0.7125,234.0607932,0
2,35,12,14,45,4.25,10.96,22.125,17.3175,0,0.387708333,210.285273,0
2,36,10,7,27,7,5.713333333,17.5,13.10666667,0,0.196666667,115.1780713,0
2,36,11,8,33,5,4.996666667,17.92,13.97666667,0,0.50640625,243.4732708,0
2,37,17,20,84,4.666666667,7.446666667,16.91,12.90666667,0,0.371875,186.0974525,0
2,37,17,23,83,7.666666667,10.99333333,19.42333333,14.03333333,0,0.971458333,270.8721228,0
2,38,11,9,40,4.5,5.5425,20.9325,16.8425,1,0.6225,151.8778428,0
2,38,17,14,67,5.666666667,4.58,18.10666667,15.00666667,0,0.7725,222.1391404,0
2,39,18,13,77,4.666666667,6.013333333,18.59,13.45,0,0.7309375,280.2539901,0.25
2,39,17,12,45,1.666666667,18.51,20.51,15.77666667,0,0.29984375,323.7884859,0.166666667
2,40,18,14,55,3.75,8.4825,18.825,14.5625,0,0.653541667,256.1311565,0.25
2,40,16,12,46,3,8.095,18.74,13.7875,0,0.759375,191.1439615,0.1875
2,41,15,14,45,6,6.15,19.30333333,14.11,0,0.804166667,198.6651088,0
2,41,18,17,51,3,7.883333333,20.62,14.34333333,0,1.036041667,261.5049543,0.833333333
2,42,16,15,57,4.666666667,9.816666667,18.32333333,13.30666667,0,0.569375,218.189976,0
2,42,14,9,32,3.666666667,11.00666667,19.75666667,14.18333333,1,0.687916667,213.1757287,0
2,43,6,4,9,3.666666667,6.12,21.07666667,14.46333333,0,0.66125,227.7109804,0
2,43,11,6,26,3,6.08,19.69666667,13.10666667,0,0.39890625,232.8055287,0
2,44,14,9,40,4.666666667,8.41,20.65666667,14.37333333,2,0.338333333,149.1814881,0
2,44,14,11,45,4.666666667,7.27,20.14,13.85333333,0,0.760625,221.905556,0
2,45,15,22,89,8,10.94666667,18.81,16.74666667,0,0.467708333,268.7824261,0
2,45,14,18,73,6.333333333,6.613333333,17.75,15.09,0,0.394166667,361.7867652,0
2,46,11,9,40,3,4.176666667,16.64333333,13.71333333,0,0.716458333,239.0711852,0
2,46,12,12,39,3.333333333,7.526666667,20.20666667,17.38,0,1.482083333,269.0965946,0
2,47,7,6,39,4.5,8.83,19.965,14.6675,2,1.020416667,211.1054235,0
2,47,11,12,62,6,10.45333333,20.18,14.43333333,0,1.185416667,207.8217266,0
2,48,9,6,38,4,7.59,19.85666667,17.02333333,2,0.929166667,259.3752043,0
2,48,11,6,44,7.333333333,9.556666667,20.91333333,17.66666667,0,1.107916667,224.2010156,0
2,49,19,20,68,8,10.02666667,20.77,16.49,0,0.525625,253.2477546,0.333333333
2,49,13,10,40,4,10.49,21.30666667,18.15,0,0.829791667,250.9996959,0.083333333
2,50,13,14,71,5.25,11.085,19.96,14.53,0,0.522083333,169.4773421,0.25
2,50,19,29,62,4.5,7.7175,21.3075,16.0775,0,0.4259375,224.8483549,0.25
2,51,16,36,122,2.666666667,13.42,20.85,15.32666667,1,0.969166667,254.0933159,0.916666667
2,51,10,12,65,3.666666667,19.73333333,21.68,16.23,0,0.566875,203.3793921,0.25
2,52,9,14,57,1.333333333,9.503333333,21.98666667,15.72666667,0,0.814166667,251.1078092,0.25
2,52,14,30,70,1.333333333,19.12,22.94666667,17.12,3,0.854166667,250.6660328,0.666666667
2,53,21,26,87,4.333333333,17.04666667,19.47,16.56666667,0,0.795,179.3965922,0.25
2,53,17,17,64,3.666666667,6.363333333,18.66,15.87333333,1,0.75453125,247.8868868,0.25
2,54,12,15,43,4,7.8025,20.1425,15.26,1,1.22671875,207.4889793,0
2,54,19,18,68,4.75,9.335,21.015,15.75333333,0,1.457916667,270.5969113,0
2,55,16,13,44,2.666666667,9.193333333,21.51,15.48666667,0,2.055625,285.7199657,0
2,55,13,7,42,4.666666667,12.94,21.92333333,16.15,0,1.357083333,279.2745742,0
2,56,10,7,33,1.666666667,5.15,18.3,14.85666667,3,0.73265625,245.5094469,0
2,56,13,8,36,3,7.393333333,17.52,13.39666667,0,0.3915,246.100014,0
